Entreprise;Annee;TCPP;CapitalPropre;PassifNonC;TActif;TPassif;PassifCourant;ActifNonC;ActifCourant;Reserves;CapitalSociale;TProdExploitation;TChargeExploitation;R_Exploitation;Res_Exsercice;ActiviteOrdinaire;Dotation;FT_Exploitation;FT_Investisement;FT_Financement;TDebut;TFin;Variation
sopat;2018;54265988.0;2674811.0;8776446.0;54265988.0;51591177.0;42814731.0;23876485.0;30389503.0;14069109.0;27861250.0;87188976.0;-2117084.0;2279646.0;916305.0;954698.0;-1395456.0;1105731.0;-7330611.0;3813762.0;-4959120.0;-7370239.0;-2411119.0
sotem;2017;90725365.0;27698218.0;10951172.0;90725365.0;63027147.0;52075975.0;51853173.0;38872192.0;656890.0;26200000.0;48067641.0;-4931928.0;5473602.0;395716.0;395716.0;-2487603.0;6816036.0;-2789362.0;-1915564.0;-11035936.0;-8924826.0;2211110.0
sotem;2018;104033271.0;29556047.0;12366387.0;104033271.0;74477224.0;62110837.0;53302420.0;50730851.0;656890.0;26200000.0;52000879.0;-5935253.0;7709817.0;2101949.0;2170470.0;-3602840.0;599911.0;-4460251.0;5573962.0;-8924826.0;-7211204.0;1713622.0
sotuv;2017;112841765.0;55394173.0;17810052.0;112841765.0;56949396.0;39139344.0;55745396.0;57096370.0;17781445.0;27253600.0;68857773.0;-4105386.0;14871385.0;10328210.0;10328210.0;-8784226.0;10030071.0;-4774136.0;-7358044.0;677001.0;-1425107.0;-2102108.0
spdit;2018;67236167.0;65520935.0;0.0;67236167.0;1715232.0;1715232.0;12812453.0;54423714.0;2800000.0;28000000.0;25815118.0;1120548.0;24694570.0;24243356.0;24255890.0;61226.0;15611202.0;-41340.0;-15400000.0;30962.0;200824.0;169862.0
spdit;2020;73543866.0;70761043.0;0.0;73543866.0;2782823.0;2782823.0;14191393.0;59352473.0;2800000.0;28000000.0;19682665.0;1611590.0;18071075.0;16915587.0;16961012.0;58276.0;13563423.0;-1577762.0;-16800000.0;5081261.0;266922.0;-4814339.0
steq;2017;62057633.0;15117354.0;1715816.0;62057633.0;46940279.0;45224463.0;37583126.0;24474507.0;4718707.0;7000000.0;240253.0;-6781306.0;3178073.0;-415855.0;-415855.0;;14911604.0;-3769362.0;-9931639.0;-1721950.0;-511347.0;1210603.0
stip;2018;78932863.0;-233206863.0;156069863.0;78932863.0;312139726.0;156069863.0;11992538.0;66940325.0;2419912.0;12623469.0;58579656.0;-7072228.0;1560923.0;-5625089.0;-5625089106.0;4.0;;;;-31639720.0;-32640309.0;-1000588.0
stpap;2017;95029012.0;57491431.0;13868626.0;95029012.0;37537581.0;23668955.0;34979341.0;60049671.0;2610550.0;30456416.0;78105469.0;-1893491.0;12404969.0;9233853.0;9233853.0;-2971585.0;;;;80730.0;13413850.0;13333120.0
stpap;2018;107905610.0;66284457.0;13660227.0;107905610.0;41621153.0;27960926.0;37902203.0;70003407.0;11842273.0;30456416.0;106584183.0;-5059203.0;19973428.0;13228317.0;14782241.0;-5073778.0;8511187.0;;;13636060.0;14089259.0;453199.0
