Entreprise,Annee,Ratio_Autonomie_financiere_elargie,Ratio_independance_Financiere,Ratio_solvabililite_Generale,Ratio_Autonomie_financiere_globale,Ratio_rentabilité_actif,Ratio_financement,Ratio_endettement,Ratio_rotation_actifs,Ratio_rotation_capitauxpropres,Ratio_analyse_sante,Ratio_productivite,D
ab,2017,0.10449557439920502,0.17286408507301465,0.10449557439920502,0.0946093192415423,0.01476502732492949,0.06610442598471061,0.9053906807584577,82.82712571962887,875.4647679914818,0.04730465962077115,82.83055516983322,80.75493659056804
adwya,2016,0.6630719642990675,0.8024816316657305,0.6630719642990675,0.39870310998750524,0.07373677588290782,0.1379755090853158,0.6012968900124948,0.9885010213052587,2.4792909725139514,0.13541811989438493,1.0827671963457537,1.9459785968595447
alkim,2017,0.2032834069471574,0.4378073707123164,0.2032834069471574,0.1689405885375802,-0.08414407712094785,0.16897615246453268,0.8310594114624198,0.7947374712894997,4.704242350337931,-0.05175128369004344,0.7737619905892037,0.5640173849302879
alkim,2019,-0.06222691399243249,-0.41381405000096644,-0.06222691399243249,-0.06635604595708172,-0.08084969420774443,-0.02505860091311258,1.0663560459570818,0.7490546661584927,-11.288416230270444,-0.3396476685384008,0.7607024875995841,0.35288188395700437
artes,2018,1.8810585303376797,0.9966208358722914,1.8810585303376797,0.6529053507695336,0.13589141198049456,0.120337830589823,0.3470946492304664,1.3361998016725294,2.046544418877322,0.3905216252698837,1.3361998016725294,2.502121856572455
artes,2017,2.04622627461163,0.9976664287880019,2.04622627461163,0.671724977118618,1.9692120225510104,0.3592768304889085,0.32827502288138205,1.057088929830556,1.5736930527207234,0.5929325943904723,1.9711726553943307,1.8776566540605135
artes,2019,1.7788096484588862,0.9978928525574959,1.7788096484588862,0.6401336807814112,0.12179464253391595,0.3880042517685101,0.35986631921858875,0.8468773958633585,1.322969594147234,0.5251368804214281,0.846895619609895,1.4735582681826351
atb,2017,0.10066390975038109,0.16758774435476598,0.10066390975038109,0.0914574456913106,0.01033931053968635,0.06750892642822852,0.9085425543086894,37.46036865898544,409.59342758623046,0.0457287228456553,37.46868264547327,46.44168936289226
atb,2018,0.09320838321780377,0.15712586985403604,0.09320838321780377,0.08526131398978994,0.0015086203870175328,0.06829077788111934,0.91473868601021,38.856687616347024,455.73643893173073,0.04263065699489497,38.867678280188365,46.05376384619203
bt,2018,0.1611746684698275,0.2437701807947935,0.17603043959983417,0.13704974211778917,0.026787163433812534,0.08521540204604239,0.8503181264085887,37.39378389128544,272.8482616125382,0.07484093679570561,37.399920385989816,134.47741600109578
cc,2018,-0.04431509876254435,-0.09302082089478628,-0.04431509876254435,-0.046369989423463265,-0.0162841482532348,0.0007210830829782353,1.0463699894234633,0.042928129041282334,-0.9257739666328381,-0.35627885898064177,0.0672495355353524,0.025534323396821247
cell,2018,0.3685303710575727,0.9534379003869695,0.3685303710575727,0.2692891431943742,-0.012274152924252149,0.23553481282296046,0.7307108568056259,20.674881562463447,76.77577089522775,0.26050223786542986,20.809716112904315,28.93802145479114
dh,2017,0.5664073020701336,0.6535442519262877,0.5843968921939272,0.3574907934121386,0.1328156226460746,-1.0598570790583015,0.6311549870659566,2.139868875438966,5.98580135453163,0.029114553664673897,2.2369427570839746,2.889916301308745
dh,2019,0.4751904285477037,0.5452075576936485,0.49077476823205396,0.3187540054164209,0.09353176651829352,-0.736741290833357,0.6707921419852875,0.016679199027790866,0.05232624137852362,0.09777667728003055,0.11763879329056268,0.020886061258769753
gif,2019,0.5058477201406089,0.8608423060338062,0.16670481568532994,0.43356958275986085,-0.22053981884341728,0.1907150892411951,0.8571148302088678,1.983037782263615,4.573747470107816,-0.07521704612931913,1.8415733665017113,0.6156652538984801
lstr,2018,0.09510065502821353,0.13473836412475604,0.09510064584594403,0.08684193127723902,-0.05307202744533541,0.007464121692878798,0.9131580771076245,0.284246874699324,3.273152387547422,0.3293095882382165,0.3570695153402127,0.09162921540316894
lstr,2017,-0.02079911000272939,-0.15838725476638024,-0.02079911000272939,-0.021240901857010528,-0.012191316321778951,0.008532022736533747,1.0212409018570106,0.11764010724476259,-5.538376291020602,-0.16704178308435128,0.20472254967919973,0.39147326333903004
mgr,2017,5.182394896591741,0.98571059827433,5.182394896591741,0.8382503840782988,0.12369619189925946,0.1335014849376933,0.16174961592170126,0.531512061482239,0.6340731499534772,0.18412856007467399,0.13994017384726992,6.457709536530187
ml,2017,0.13351052978541356,0.21074713601151512,0.13351052978541356,0.11778499297283865,0.01217155960792444,0.0035809370021054224,0.8822150070271614,0.01313871828034495,0.11154832163868916,0.058892496486419324,0.03893743998475082,0.0
pltu,2020,245.59154820065572,1.0,245.59154820065572,0.9959447109712524,0.23638577035882058,0.14260494525908982,0.004055289028747583,29.436331273815963,29.556190167533938,0.5091768604630997,29.39897155511692,10788.355216608135
sah,2019,0.7211831862569449,0.7975605120215745,0.7211831862569449,0.41900431750399625,0.06072013750234963,0.006691463536162667,0.5809956824960038,0.0705286972230074,0.16832451188843592,0.10132514932280376,0.14536107491969075,0.09755962115904689
scb,2017,0.3092780134388116,0.3838404990869526,0.3092780134388116,0.23622027580413923,-0.046466319292835866,0.32437954927274976,0.7637797241958607,0.33042776940981144,1.3988120549134566,-0.08879347723077596,0.38193289593969565,0.21352500665703017
scb,2019,0.139168520317315,0.00034981529053337314,0.139168520317315,0.12216675393957487,0.0,0.39660108093174534,0.8778332460604251,0.19489660756874885,1.5953326194223598,-0.3016256153837304,0.19489660756874885,0.10582740277869392
