Entreprise;Annee;TCPP;CapitalPropre;PassifNonC;TActif;TPassif;PassifCourant;ActifNonC;ActifCourant;Reserves;CapitalSociale;TProdExploitation;TChargeExploitation;R_Exploitation;Res_Exsercice;ActiviteOrdinaire;Dotation;FT_Exploitation;FT_Investisement;FT_Financement;TDebut;TFin;Variation;Chiffre_Affaire;CapBoursiere
ab;2017;8656198.0;818957.0;3918620.5;8656198.0;7837241.0;3918620.5;4328099.0;4328099.0;572213.0;132405.0;716968.0;-22598.0;127809.0;113911.0;115905.0;-7088.0;-160862.0;-134468.0;24349.0;-693532.0;-964513.0;-270981.0;716968000.0;632895900.0
adwya;2016;85735875.0;34183160.0;8413653.0;85735875.0;51552715.0;43139062.0;30986623.0;54749253.0;11829451.0;19305000.0;85876887.0;-2974324.0;6321887.0;2734405.0;2897574.0;-5107669.0;10091073.0;-4625548.0;-5843513.0;917634.0;539647.0;-377988.0;84750000.0;100320480.0
alkim;2017;189602234.0;32031513.0;41131972.0;189602234.0;157570721.0;116438270.0;82976124.0;106626111.0;32038256.0;19472530.0;180983278.0;-3127043.0;-15953905.0;32031513.0;0.0;7104041.0;22688464.0;-2116427.0;-17546586.0;5432649.0;8458100.0;3025451.0;150684000.0;88872626.0
alkim;2019;236176354.0;-15671729.0;53543157.0;236176354.0;251848083.0;198304925.0;118088177.0;118088177.0;-5918249.0;19472530.0;176909511.0;-11188486.0;-19094786.0;-15671729.0;0.0;8437546.0;0.0;0.0;0.0;4995043.0;23252154.0;18257111.0;176909000.0;88872626.0
artes;2018;176171258.0;115023157.0;390000.0;176171258.0;61148101.0;60758101.0;46614471.0;129556787.0;21200067.0;38250000.0;0.0;0.0;23940161.0;25295162.0;25295162.0;0.0;0.0;0.0;0.0;91837092.0;56981591.0;-34855501.0;235400000.0;153000000.0
artes;2017;248220365.0;166735819.0;390000.0;248220365.0;81484546.0;81094546.0;19947874.0;228272491.0;89179826.0;38250000.0;263272899.0;-225525628.0;488798527.0;35425179.0;35425179.0;-1368568.0;0.0;0.0;0.0;141593509.0;157880054.0;16286545.0;262391000.0;153000000.0
artes;2019;288524645.0;184694343.0;390000.0;288524645.0;103830302.0;103440302.0;33569411.0;254955234.0;111948789.0;38250000.0;244969888.0;-5258.0;35140756.0;184694343.0;0.0;0.0;0.0;0.0;0.0;116332945.0;118416057.0;2083112.0;244345000.0;153000000.0
atb;2017;6398976.0;585234.0;2906871.0;6398976.0;5813742.0;2906871.0;3199488.0;3199488.0;431988.0;100000.0;444126.0;-40205.0;66161.0;585234.0;53626.0;-12996.0;0.0;0.0;0.0;-249767.0;278175.0;28408.0;239708000.0;270000000.0
atb;2018;6409167.0;546454.0;2931356.5;6409167.0;5862713.0;2931356.5;3204583.5;3204583.5;437687.0;100000.0;522448.0;-54092.0;9669.0;7318.0;7448.0;-16349.0;0.0;0.0;0.0;-221359.0;0.0;0.0;249039000.0;270000000.0
bt;2018;6370738.0;873108.0;2708577.0;6370738.0;5417154.0;2708577.0;3185369.0;3185369.0;542885.0;329644.0;537463.0;-28840.0;170654.0;579.0;127032.0;-10254.0;243878.0;-123018.0;-1470.0;163850.0;-44205.0;119645.0;238226000.0;728484872.0
cc;2018;816550844.0;-37863454.0;444906239.0;816550844.0;854414298.0;409508059.0;697962588.0;118588256.0;588801.0;172134413.0;249587834.0;-65080776.0;-13296835.0;-75986092.0;-75986092.0;45221111.0;60638152.0;-9185731.0;-58425002.0;-35298025.0;-42270606.0;-6972581.0;35053000.0;21816891.0
cell;2018;38430595.0;10348942.0;505401.0;38430595.0;28081653.0;27576252.0;843087.0;37587508.0;9051743.0;4461532.0;-3448194.0;-2976491.0;-471703.0;-3433590.0;-3348528.0;-2205281.0;-4060429.0;0.0;-135630.0;-7480601.0;-11742095.0;-4261494.0;794548000.0;812627477.0
dh;2017;445523093.0;159270404.0;84432151.0;445523093.0;281194122.0;196761971.0;235789916.0;209733177.0;-472190804.0;549072620.0;1320987.0;-11285919.0;59172427.0;38624678.0;39051420.0;-31962737.0;0.0;0.0;0.0;0.0;0.0;18776816.0;953361000.0;812627477.0
dh;2019;640918067.0;204295201.0;170415674.0;640918067.0;429922803.0;259507129.0;318744099.0;322173968.0;-472190804.0;549072620.0;3998679.0;-17928155.0;59946199.0;46529346.0;42737238.0;-46778673.0;44628715.0;0.0;0.0;22312166.0;41780174.0;19468008.0;10690000.0;8979394.0
gif;2019;18910381.0;8198966.0;1325387.0;18910381.0;16208368.0;14882982.0;5449782.0;13460599.0;3606495.0;10563994.0;2311.0;1345045.0;-4170492.0;-5495910.0;-5496187.0;1330101.0;-1104079.0;-342211.0;1552789.0;-1601464.0;-1359988.0;241476.0;37500000.0;9978929.0
lstr;2018;119262525.0;10356988.0;66510414.0;119262525.0;108905538.0;42395124.0;37593108.0;81669417.0;890190.0;20575112.0;37585378.0;-13407892.0;-6329504.0;-18845870.0;-18845870.0;4722880.0;-27223090.0;44500.0;50383230.0;-40989967.0;-17785327.0;23204641.0;33900000.0;9978929.0
lstr;2017;104335165.0;-2216173.0;16208290.0;104335165.0;106551338.0;89316192.0;32447305.0;71887860.0;890190.0;21437780.0;56659655.0;-11060820.0;-1271983.0;-200672.0;-15705248.0;1975059.0;14187750.0;-5171933.0;4343618.0;-78153897.0;-39607325.0;13359435.0;12274000.0;41712000.0
mgr;2017;25848896.0;21667847.0;314109.0;25848896.0;4181049.0;3866940.0;17222436.0;8626460.0;3450866.0;13200000.0;12053495.0;8856085.0;3197410.0;3070143.0;3070143.0;1265616.0;4373254.0;-5739921.0;-1317254.0;10432622.0;7748701.0;-2683921.0;13739000.0;27000000.0
ml;2017;367767989.0;43317550.0;162225219.5;367767989.0;324450439.0;162225219.5;183883994.5;183883994.5;1316954.0;35000000.0;13738826.0;-9262516.0;4476310.0;3138531.0;3323607.0;-225428.0;-75223820.0;-1778139.0;71256657.0;10425672.0;4680370.0;-5745302.0;4832000.0;0.0
pltu;2020;19028730.0;18951563.0;0.0;19028730.0;77167.0;77167.0;9262574.0;9766156.0;2713591.0;10000000.0;5013258.0;515137.0;4498121.0;4488178.0;4488178.0;195771.0;2020.0;0.0;0.0;12334.0;14354.0;2020.0;560136000.0;832505007.0
sah;2019;901434487.0;377704942.0;95870337.0;901434487.0;523729545.0;427922208.0;382174295.0;519260192.0;6031916.0;65345762.0;564257384.0;-40898384.0;54735226.0;22129442.0;23463661.0;-26558102.0;30195556.0;0.0;0.0;12319399.0;2597593.0;-5052816.0;63577000.0;51094856.0
scb;2017;313299939.0;74007798.0;118800929.0;313299939.0;239292141.0;120491212.0;220627718.0;92672221.0;101628093.0;44047290.0;188726.0;-16136553.0;-14557895.0;-29988692.0;-29988692.0;0.0;53631.0;-11291685.0;34334720.0;-568499.0;19340622.0;19909120.0;103523000.0;51094856.0
scb;2019;255632977.0;31229851.0;89244030108.0;255632977.0;224403126.0;135159096.0;197579335.0;58053642.0;101384315.0;44047290.0;0.0;0.0;0.0;-9384155.0;-9384155.0;0.0;31713398.0;-2470437.0;-43547312.0;14769219.0;113932.0;-14655287.0;49822000.0;23748000.0
servi;2016;125937193.0;37048750.0;18525303.0;125937193.0;88888443.0;70363140.0;25789170.0;100148023.0;30127479.0;3537000.0;69278535.0;-5831691.0;8015512.0;1628758.0;2056692.0;6867931.0;7886264.0;-6359376.0;264615.0;-10447903.0;-8656399.0;1791503.0;1202917000.0;4561425000.0
sfbt;2019;1623290239.0;1002853603.0;215259349.0;1623290239.0;620436636.0;405177287.0;691345497.0;931944742.0;530941133.0;198000000.0;1212170876.0;-24487830.0;264963543.0;210900466.0;220029183.0;78912461.0;276493982.0;0.0;-82807618.0;125765626.0;145149865.0;19384239.0;116380000.0;40656000.0
somoc;2017;186986671.0;76926674.0;27474181.0;186986671.0;110059997.0;82585816.0;82591438.0;104395233.0;22481558.0;40656000.0;85588248.0;-8845390.0;12602349.0;4007908.0;4007908.0;-5760060.0;16028998.0;-1968368.0;0.0;-11696293.0;-11067972.0;628321.0;145412000.0;40656000.0
somoc;2019;345929535.0;79113623.0;57965489.0;345929535.0;266815912.0;208850423.0;136290589.0;209638946.0;25731187.0;40656000.0;146494475.0;-21869389.0;22309112.0;380974.0;1437968.0;-12069458.0;0.0;-10239411.0;0.0;-24220997.0;-38432700.0;-14211703.0;86593000.0;52248525.0
sopat;2018;54265988.0;2674811.0;8776446.0;54265988.0;51591177.0;42814731.0;23876485.0;30389503.0;14069109.0;27861250.0;87188976.0;-2117084.0;2279646.0;916305.0;954698.0;-1395456.0;1105731.0;-7330611.0;3813762.0;-4959120.0;-7370239.0;-2411119.0;51757000.0;112266001.0
sotem;2017;90725365.0;27698218.0;10951172.0;90725365.0;63027147.0;52075975.0;51853173.0;38872192.0;656890.0;26200000.0;48067641.0;-4931928.0;5473602.0;395716.0;395716.0;-2487603.0;6816036.0;-2789362.0;-1915564.0;-11035936.0;-8924826.0;2211110.0;57542000.0;112266001.0
sotem;2018;104033271.0;29556047.0;12366387.0;104033271.0;74477224.0;62110837.0;53302420.0;50730851.0;656890.0;26200000.0;52000879.0;-5935253.0;7709817.0;2101949.0;2170470.0;-3602840.0;599911.0;-4460251.0;5573962.0;-8924826.0;-7211204.0;1713622.0;67249000.0;220881911.0
sotuv;2017;112841765.0;55394173.0;17810052.0;112841765.0;56949396.0;39139344.0;55745396.0;57096370.0;17781445.0;27253600.0;68857773.0;-4105386.0;14871385.0;10328210.0;10328210.0;-8784226.0;10030071.0;-4774136.0;-7358044.0;677001.0;-1425107.0;-2102108.0;25570000.0;229600000.0
spdit;2018;67236167.0;65520935.0;0.0;67236167.0;1715232.0;1715232.0;12812453.0;54423714.0;2800000.0;28000000.0;25815118.0;1120548.0;24694570.0;24243356.0;24255890.0;61226.0;15611202.0;-41340.0;-15400000.0;30962.0;200824.0;169862.0;18981000.0;229600000.0
spdit;2020;73543866.0;70761043.0;0.0;73543866.0;2782823.0;2782823.0;14191393.0;59352473.0;2800000.0;28000000.0;19682665.0;1611590.0;18071075.0;16915587.0;16961012.0;58276.0;13563423.0;-1577762.0;-16800000.0;5081261.0;266922.0;-4814339.0;72604000.0;4965232000.0
steq;2017;62057633.0;15117354.0;1715816.0;62057633.0;46940279.0;45224463.0;37583126.0;24474507.0;4718707.0;7000000.0;240253.0;-6781306.0;3178073.0;-415855.0;-415855.0;0.0;14911604.0;-3769362.0;-9931639.0;-1721950.0;-511347.0;1210603.0;60072000.0;4965232000.0
stip;2018;78932863.0;-233206863.0;156069863.0;78932863.0;312139726.0;156069863.0;11992538.0;66940325.0;2419912.0;12623469.0;58579656.0;-7072228.0;1560923.0;-5625089.0;-5625089106.0;4.0;0.0;0.0;0.0;-31639720.0;-32640309.0;-1000588.0;78064000.0;118472663.0
stpap;2017;95029012.0;57491431.0;13868626.0;95029012.0;37537581.0;23668955.0;34979341.0;60049671.0;2610550.0;30456416.0;78105469.0;-1893491.0;12404969.0;9233853.0;9233853.0;-2971585.0;0.0;0.0;0.0;80730.0;13413850.0;13333120.0;106558000.0;118472663.0
stpap;2018;107905610.0;66284457.0;13660227.0;107905610.0;41621153.0;27960926.0;37902203.0;70003407.0;11842273.0;30456416.0;106584183.0;-5059203.0;19973428.0;13228317.0;14782241.0;-5073778.0;8511187.0;0.0;0.0;13636060.0;14089259.0;453199.0;15101000.0;50486040.0
stpil;2017;46804650.0;38737878.0;2267957.0;46804650.0;8066772.0;5798815.0;10252851.0;36551799.0;0.0;0.0;16655567.0;-33118.0;16688685.0;6218419.0;9609849.0;2171645.0;7489104.0;-120472.0;-2989966.0;22601647.0;27221257.0;4619610.0;995388000.0;60533589.0
tair;2015_1;-936084.0;30414.0;483249.0;-936084.0;966498.0;483249.0;-468042.0;-468042.0;444791.0;-325766.0;3213.0;-29914.0;-61727.0;-88611.0;-82800.0;-109289.0;-145375.0;0.0;321848.0;-349579.0;146136.0;-203443.0;74227000.0;82080000.0
